epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8453.82,1.06973,0.77948,1.22128,0.89686,0.83484,0.89815,0.60569,1.08711,0.66711,1.24587,0.0011882,0.0011882,0.0011882
43,8669.18,1.0768,0.80303,1.23775,0.88522,0.85032,0.90727,0.62059,1.08131,0.66168,1.22474,0.0011684,0.0011684,0.0011684
44,8883.1,1.0713,0.76263,1.22555,0.90123,0.84774,0.91073,0.61134,1.09354,0.68237,1.22495,0.0011486,0.0011486,0.0011486
45,9105.38,1.04577,0.75909,1.21658,0.86434,0.7871,0.85642,0.56032,1.16603,0.80689,1.28674,0.0011288,0.0011288,0.0011288
46,9319.83,1.04891,0.76522,1.21468,0.91695,0.84129,0.9179,0.63732,1.0554,0.64874,1.21052,0.001109,0.001109,0.001109
47,9524.05,1.03647,0.74754,1.20532,0.92919,0.84258,0.91922,0.63544,1.03875,0.63582,1.20111,0.0010892,0.0010892,0.0010892
48,9729.09,1.02845,0.74167,1.21041,0.89973,0.85032,0.90497,0.62296,1.05552,0.62796,1.21952,0.0010694,0.0010694,0.0010694
49,9934.53,1.05297,0.77209,1.22325,0.89448,0.85935,0.91419,0.64396,1.0273,0.61772,1.18645,0.0010496,0.0010496,0.0010496
50,10140.3,1.03653,0.74951,1.21317,0.94006,0.87016,0.93144,0.64747,1.0409,0.61873,1.20289,0.0010298,0.0010298,0.0010298
51,10347.5,1.00399,0.72152,1.19142,0.88408,0.86581,0.91649,0.6293,1.04408,0.64165,1.20254,0.00101,0.00101,0.00101
52,10555.5,1.00993,0.71955,1.1941,0.90394,0.86206,0.92378,0.63719,1.03157,0.63586,1.19587,0.0009902,0.0009902,0.0009902
53,10765.5,1.02233,0.7223,1.20923,0.92466,0.84774,0.91886,0.6502,1.01444,0.6153,1.19153,0.0009704,0.0009704,0.0009704
54,10974.7,1.01459,0.71273,1.19641,0.89991,0.85419,0.93009,0.64586,1.03543,0.61477,1.20283,0.0009506,0.0009506,0.0009506
